Orgao	ID serv.	Nome Serviço	Status	url	Maturidade	Atualizador	Data Modificação	Data Criação
ARSAL	599dca518c36c73ba808f11f	Cadastro de Empresa (Transporte Intermunicipal/Arsal)	True	http://www.servicos.al.gov.br/servico/599dca518c36c73ba808f11f/cadastro-de-empresa-transporte-intermunicipal-arsal		None		
ARSAL	599dda488c36c73ba808f12b	Baixa de Veículo (Transporte Intermunicipal/Arsal)	True	http://www.servicos.al.gov.br/servico/599dda488c36c73ba808f12b/baixa-de-veiculo-transporte-intermunicipal-arsal		None		
ARSAL	59a5c2e78c36c7319d27de8c	Inclusão de Veículo (Transporte Intermunicipal/Arsal)	True	http://www.servicos.al.gov.br/servico/59a5c2e78c36c7319d27de8c/inclusao-de-veiculo-transporte-intermunicipal-arsal		None		
ARSAL	59a5c4568c36c7319d27de8e	Agendamento para realização de vistoria (Transporte Intermunicipal/Arsal)	True	http://www.servicos.al.gov.br/servico/59a5c4568c36c7319d27de8e/agendamento-para-realizacao-de-vistoria-transporte-intermunicipal-arsal		None		
ARSAL	59a5c5c68c36c7319d27de90	Liberação de documento no Detran (Transporte Intermunicipal/Arsal)	True	http://www.servicos.al.gov.br/servico/59a5c5c68c36c7319d27de90/liberacao-de-documento-no-detran-transporte-intermunicipal-arsal		None		
ARSAL	59a5c8da8c36c7319d27de92	Cadastro de Motorista Substituto (Transporte Intermunicipal/Arsal)	True	http://www.servicos.al.gov.br/servico/59a5c8da8c36c7319d27de92/cadastro-de-motorista-substituto-transporte-intermunicipal-arsal		None		
ARSAL	59a5c9d58c36c7319d27de94	Prorrogação de Prazos (Transporte Intermunicipal/Arsal)	True	http://www.servicos.al.gov.br/servico/59a5c9d58c36c7319d27de94/prorrogacao-de-prazos-transporte-intermunicipal-arsal		None		
ARSAL	59a5cb958c36c7319d27de96	Cancelamentto de Cadastro (Transporte Intermunicipal/Arsal)	True	http://www.servicos.al.gov.br/servico/59a5cb958c36c7319d27de96/cancelamentto-de-cadastro-transporte-intermunicipal-arsal		None		
ARSAL	59a5cce28c36c7319d27de98	Solicitação de Talonário para Viagens Eventuais e Fretamento (Transporte Intermunicipal/Arsal)	True	http://www.servicos.al.gov.br/servico/59a5cce28c36c7319d27de98/solicitacao-de-talonario-para-viagens-eventuais-e-fretamento-transporte-intermunicipal-arsal		None		
ARSAL	59a5ce388c36c7319d27de9a	Isenção de IPVA (Transporte Intermunicipal/Arsal)	True	http://www.servicos.al.gov.br/servico/59a5ce388c36c7319d27de9a/isencao-de-ipva-transporte-intermunicipal-arsal		None	09/01/2018 14:06	
