Orgao	ID serv.	Nome Serviço	QTDO_brigatorio	QTD_opcionais	Percentual_Obrigatorio	Percentual_Opcionais	Nota do servico	Status	Atualizador	Data Modificação	Data Criação	Nota do Nome*	 Nota dos Nomes Populares	Nota da Descrição do Servico*	Nota das Unidades Atendimento*	Nota do Tempo Estimado	Tipo do Tempo	Comentarios do Tempo	Nota de Outras Informações	Solicitante*	Tipo de Solicitante*	Requisitos do Solicitante	Nota da Categoria*	Nota do Publico Alvo	Nota da Etapa*	Nota do Título*	Nota da Descrição*	Nota dos Documentos	Nota dos Documentos Exceções	Nota dos Canais	Nota do Custo	Nota da Descrição do Custo	QTD Etapa	QTD title	QTD Descricao	QTD Documentos	Documentos Excecoes	QTD Canais	QTD Custo	QTD Description custo	Buffer Etapa
ARSAL	599dca518c36c73ba808f11f	Cadastro de Empresa (Transporte Intermunicipal/Arsal)	8.0	9.0	1.0	0.6923076923076923	0.8095238095238095	True	None			1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	3.0	3.0	2.0	0.0	3.0	3.0	0.0	['** Et: ', 1.0, 'Title', 1.0, '** Et: ', 1.0, 'Description', 1.0, '** Et: ', 1.0, 'Documentos', 1.0, '** Et: ', 1.0, 'Documentos', 0.0, '** Et: ', 1.0, 'Canais', 1.0, '** Et: ', 1.0, 'Custo', 1.0, '** Et: ', 1.0, 'Description', 0.0, '** Et: ', 2.0, 'Title', 1.0, '** Et: ', 2.0, 'Description', 1.0, '** Et: ', 2.0, 'Documentos', 0.0, '** Et: ', 2.0, 'Canais', 1.0, '** Et: ', 2.0, 'Custo', 1.0, '** Et: ', 2.0, 'Description', 0.0, '** Et: ', 3.0, 'Title', 1.0, '** Et: ', 3.0, 'Description', 1.0, '** Et: ', 3.0, 'Documentos', 1.0, '** Et: ', 3.0, 'Documentos', 0.0, '** Et: ', 3.0, 'Canais', 1.0, '** Et: ', 3.0, 'Custo', 1.0, '** Et: ', 3.0, 'Description', 0.0]
ARSAL	599dda488c36c73ba808f12b	Baixa de Veículo (Transporte Intermunicipal/Arsal)	8.0	8.0	1.0	0.6153846153846154	0.7619047619047619	True	None			1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	0.0	['** Et: ', 1.0, 'Title', 1.0, '** Et: ', 1.0, 'Description', 1.0, '** Et: ', 1.0, 'Documentos', 1.0, '** Et: ', 1.0, 'Documentos', 0.0, '** Et: ', 1.0, 'Canais', 1.0, '** Et: ', 1.0, 'Custo', 1.0, '** Et: ', 1.0, 'Description', 0.0, '** Et: ', 2.0, 'Title', 1.0, '** Et: ', 2.0, 'Description', 1.0, '** Et: ', 2.0, 'Documentos', 1.0, '** Et: ', 2.0, 'Documentos', 0.0, '** Et: ', 2.0, 'Canais', 1.0, '** Et: ', 2.0, 'Custo', 1.0, '** Et: ', 2.0, 'Description', 0.0, '** Et: ', 3.0, 'Title', 1.0, '** Et: ', 3.0, 'Description', 1.0, '** Et: ', 3.0, 'Documentos', 1.0, '** Et: ', 3.0, 'Documentos', 0.0, '** Et: ', 3.0, 'Canais', 1.0, '** Et: ', 3.0, 'Custo', 1.0, '** Et: ', 3.0, 'Description', 0.0]
ARSAL	59a5c2e78c36c7319d27de8c	Inclusão de Veículo (Transporte Intermunicipal/Arsal)	8.0	7.0	1.0	0.5384615384615384	0.7142857142857143	True	None			1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	0.0	['** Et: ', 1.0, 'Title', 1.0, '** Et: ', 1.0, 'Description', 1.0, '** Et: ', 1.0, 'Documentos', 1.0, '** Et: ', 1.0, 'Documentos', 0.0, '** Et: ', 1.0, 'Canais', 1.0, '** Et: ', 1.0, 'Custo', 1.0, '** Et: ', 1.0, 'Description', 0.0, '** Et: ', 2.0, 'Title', 1.0, '** Et: ', 2.0, 'Description', 1.0, '** Et: ', 2.0, 'Documentos', 1.0, '** Et: ', 2.0, 'Documentos', 0.0, '** Et: ', 2.0, 'Canais', 1.0, '** Et: ', 2.0, 'Custo', 1.0, '** Et: ', 2.0, 'Description', 0.0, '** Et: ', 3.0, 'Title', 1.0, '** Et: ', 3.0, 'Description', 1.0, '** Et: ', 3.0, 'Documentos', 1.0, '** Et: ', 3.0, 'Documentos', 0.0, '** Et: ', 3.0, 'Canais', 1.0, '** Et: ', 3.0, 'Custo', 1.0, '** Et: ', 3.0, 'Description', 0.0]
ARSAL	59a5c4568c36c7319d27de8e	Agendamento para realização de vistoria (Transporte Intermunicipal/Arsal)	8.0	8.0	1.0	0.6153846153846154	0.7619047619047619	True	None			1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	0.0	['** Et: ', 1.0, 'Title', 1.0, '** Et: ', 1.0, 'Description', 1.0, '** Et: ', 1.0, 'Documentos', 1.0, '** Et: ', 1.0, 'Documentos', 0.0, '** Et: ', 1.0, 'Canais', 1.0, '** Et: ', 1.0, 'Custo', 1.0, '** Et: ', 1.0, 'Description', 0.0, '** Et: ', 2.0, 'Title', 1.0, '** Et: ', 2.0, 'Description', 1.0, '** Et: ', 2.0, 'Documentos', 1.0, '** Et: ', 2.0, 'Documentos', 0.0, '** Et: ', 2.0, 'Canais', 1.0, '** Et: ', 2.0, 'Custo', 1.0, '** Et: ', 2.0, 'Description', 0.0, '** Et: ', 3.0, 'Title', 1.0, '** Et: ', 3.0, 'Description', 1.0, '** Et: ', 3.0, 'Documentos', 1.0, '** Et: ', 3.0, 'Documentos', 0.0, '** Et: ', 3.0, 'Canais', 1.0, '** Et: ', 3.0, 'Custo', 1.0, '** Et: ', 3.0, 'Description', 0.0]
ARSAL	59a5c5c68c36c7319d27de90	Liberação de documento no Detran (Transporte Intermunicipal/Arsal)	8.0	7.0	1.0	0.5384615384615384	0.7142857142857143	True	None			1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	0.0	['** Et: ', 1.0, 'Title', 1.0, '** Et: ', 1.0, 'Description', 1.0, '** Et: ', 1.0, 'Documentos', 1.0, '** Et: ', 1.0, 'Documentos', 0.0, '** Et: ', 1.0, 'Canais', 1.0, '** Et: ', 1.0, 'Custo', 1.0, '** Et: ', 1.0, 'Description', 0.0, '** Et: ', 2.0, 'Title', 1.0, '** Et: ', 2.0, 'Description', 1.0, '** Et: ', 2.0, 'Documentos', 1.0, '** Et: ', 2.0, 'Documentos', 0.0, '** Et: ', 2.0, 'Canais', 1.0, '** Et: ', 2.0, 'Custo', 1.0, '** Et: ', 2.0, 'Description', 0.0, '** Et: ', 3.0, 'Title', 1.0, '** Et: ', 3.0, 'Description', 1.0, '** Et: ', 3.0, 'Documentos', 1.0, '** Et: ', 3.0, 'Documentos', 0.0, '** Et: ', 3.0, 'Canais', 1.0, '** Et: ', 3.0, 'Custo', 1.0, '** Et: ', 3.0, 'Description', 0.0]
ARSAL	59a5c8da8c36c7319d27de92	Cadastro de Motorista Substituto (Transporte Intermunicipal/Arsal)	8.0	8.0	1.0	0.6153846153846154	0.7619047619047619	True	None			1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	0.0	['** Et: ', 1.0, 'Title', 1.0, '** Et: ', 1.0, 'Description', 1.0, '** Et: ', 1.0, 'Documentos', 1.0, '** Et: ', 1.0, 'Documentos', 0.0, '** Et: ', 1.0, 'Canais', 1.0, '** Et: ', 1.0, 'Custo', 1.0, '** Et: ', 1.0, 'Description', 0.0, '** Et: ', 2.0, 'Title', 1.0, '** Et: ', 2.0, 'Description', 1.0, '** Et: ', 2.0, 'Documentos', 1.0, '** Et: ', 2.0, 'Documentos', 0.0, '** Et: ', 2.0, 'Canais', 1.0, '** Et: ', 2.0, 'Custo', 1.0, '** Et: ', 2.0, 'Description', 0.0, '** Et: ', 3.0, 'Title', 1.0, '** Et: ', 3.0, 'Description', 1.0, '** Et: ', 3.0, 'Documentos', 1.0, '** Et: ', 3.0, 'Documentos', 0.0, '** Et: ', 3.0, 'Canais', 1.0, '** Et: ', 3.0, 'Custo', 1.0, '** Et: ', 3.0, 'Description', 0.0]
ARSAL	59a5c9d58c36c7319d27de94	Prorrogação de Prazos (Transporte Intermunicipal/Arsal)	8.0	7.0	1.0	0.5384615384615384	0.7142857142857143	True	None			1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	0.0	['** Et: ', 1.0, 'Title', 1.0, '** Et: ', 1.0, 'Description', 1.0, '** Et: ', 1.0, 'Documentos', 1.0, '** Et: ', 1.0, 'Documentos', 0.0, '** Et: ', 1.0, 'Canais', 1.0, '** Et: ', 1.0, 'Custo', 1.0, '** Et: ', 1.0, 'Description', 0.0, '** Et: ', 2.0, 'Title', 1.0, '** Et: ', 2.0, 'Description', 1.0, '** Et: ', 2.0, 'Documentos', 1.0, '** Et: ', 2.0, 'Documentos', 0.0, '** Et: ', 2.0, 'Canais', 1.0, '** Et: ', 2.0, 'Custo', 1.0, '** Et: ', 2.0, 'Description', 0.0, '** Et: ', 3.0, 'Title', 1.0, '** Et: ', 3.0, 'Description', 1.0, '** Et: ', 3.0, 'Documentos', 1.0, '** Et: ', 3.0, 'Documentos', 0.0, '** Et: ', 3.0, 'Canais', 1.0, '** Et: ', 3.0, 'Custo', 1.0, '** Et: ', 3.0, 'Description', 0.0]
ARSAL	59a5cb958c36c7319d27de96	Cancelamentto de Cadastro (Transporte Intermunicipal/Arsal)	8.0	7.0	1.0	0.5384615384615384	0.7142857142857143	True	None			1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	3.0	3.0	3.0	0.0	3.0	3.0	0.0	['** Et: ', 1.0, 'Title', 1.0, '** Et: ', 1.0, 'Description', 1.0, '** Et: ', 1.0, 'Documentos', 1.0, '** Et: ', 1.0, 'Documentos', 0.0, '** Et: ', 1.0, 'Canais', 1.0, '** Et: ', 1.0, 'Custo', 1.0, '** Et: ', 1.0, 'Description', 0.0, '** Et: ', 2.0, 'Title', 1.0, '** Et: ', 2.0, 'Description', 1.0, '** Et: ', 2.0, 'Documentos', 1.0, '** Et: ', 2.0, 'Documentos', 0.0, '** Et: ', 2.0, 'Canais', 1.0, '** Et: ', 2.0, 'Custo', 1.0, '** Et: ', 2.0, 'Description', 0.0, '** Et: ', 3.0, 'Title', 1.0, '** Et: ', 3.0, 'Description', 1.0, '** Et: ', 3.0, 'Documentos', 1.0, '** Et: ', 3.0, 'Documentos', 0.0, '** Et: ', 3.0, 'Canais', 1.0, '** Et: ', 3.0, 'Custo', 1.0, '** Et: ', 3.0, 'Description', 0.0]
ARSAL	59a5cce28c36c7319d27de98	Solicitação de Talonário para Viagens Eventuais e Fretamento (Transporte Intermunicipal/Arsal)	8.0	9.0	1.0	0.6923076923076923	0.8095238095238095	True	None			1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	0.0	['** Et: ', 1.0, 'Title', 1.0, '** Et: ', 1.0, 'Description', 1.0, '** Et: ', 1.0, 'Documentos', 1.0, '** Et: ', 1.0, 'Documentos', 0.0, '** Et: ', 1.0, 'Canais', 1.0, '** Et: ', 1.0, 'Custo', 1.0, '** Et: ', 1.0, 'Description', 0.0, '** Et: ', 2.0, 'Title', 1.0, '** Et: ', 2.0, 'Description', 1.0, '** Et: ', 2.0, 'Documentos', 1.0, '** Et: ', 2.0, 'Documentos', 0.0, '** Et: ', 2.0, 'Canais', 1.0, '** Et: ', 2.0, 'Custo', 1.0, '** Et: ', 2.0, 'Description', 0.0]
ARSAL	59a5ce388c36c7319d27de9a	Isenção de IPVA (Transporte Intermunicipal/Arsal)	8.0	7.0	1.0	0.5384615384615384	0.7142857142857143	True	None	09/01/2018 14:06		1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	0.0	['** Et: ', 1.0, 'Title', 1.0, '** Et: ', 1.0, 'Description', 1.0, '** Et: ', 1.0, 'Documentos', 1.0, '** Et: ', 1.0, 'Documentos', 0.0, '** Et: ', 1.0, 'Canais', 1.0, '** Et: ', 1.0, 'Custo', 1.0, '** Et: ', 1.0, 'Description', 0.0, '** Et: ', 2.0, 'Title', 1.0, '** Et: ', 2.0, 'Description', 1.0, '** Et: ', 2.0, 'Documentos', 1.0, '** Et: ', 2.0, 'Documentos', 0.0, '** Et: ', 2.0, 'Canais', 1.0, '** Et: ', 2.0, 'Custo', 1.0, '** Et: ', 2.0, 'Description', 0.0]
