ID Unidade	Orgao	Nome da U. A.	Município Unit.	QTDO obrigatorio Uni.	QTD opcionais Uni.	Percentual Obrigatorio Uni.	Percentual Opcionais Uni.	Nota da U. A.	Nome da U.A.*:	Municipio Unit.*	Endereço Principal da U. A.*:	Telefones da U. A.:	Email da U. A:	Horarios U. A.:
599dc7bf8c36c73ba808f11c	ARSAL	Arsal Maceió	Maceio	3,0	3,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0
599dc8278c36c73ba808f11d	ARSAL	Arsal Arapiraca	Maceio	3,0	3,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0
5757f0388c36c75fd9000000	ADEAL	ADEAL - Central Já! ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - São Miguel dos Campos	Maceio	3,0	3,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0
5757f07e8c36c75fd9000001	ADEAL	ADEAL SEDE - Maceió	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbdda78c36c71c55721593	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - Maceió	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbdf018c36c71c55721594	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - Delmiro Gouveia	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbdf488c36c71c55721595	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - Maribondo	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbdf878c36c71c55721596	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - Mata Grande	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbdfb78c36c71c55721597	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - Porto Calvo	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbdff48c36c71c55721598	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - Santana do Ipanema	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbe0248c36c71c55721599	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - São Luiz do Quitunde	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbe0638c36c71c5572159a	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - São Miguel dos Campos	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbe0868c36c71c5572159b	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - União dos Palmares	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbe0b38c36c71c5572159c	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - Traipu	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbe0f38c36c71c5572159d	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - Viçosa	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbe1168c36c71c5572159e	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - Palmeira dos Índios	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbe1428c36c71c5572159f	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - Arapiraca	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
59cbe16f8c36c71c557215a0	ADEAL	ULSAV - UNIDADE LOCAL DE SANIDADE ANIMAL E VEGETAL - Batalha	Maceio	3,0	2,0	1,0	0,666666666667	0,833333333333	1,0	1,0	1,0	1,0	0,0	1,0
5a4f85b5547bb34bb7814ebb	AMGESP	Agência de Modernização da Gestão de Processos - AMGESP	Maceio	3,0	3,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0	1,0
